City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,necochea,-38.5473,-58.7368,17.4,86,0,2.91,AR,1675914854
128,touros,-5.1989,-35.4608,26.01,81,13,5.0,BR,1675914855
129,saskylakh,71.9167,114.0833,-41.37,98,54,3.04,RU,1675914855
130,manokwari,-0.8667,134.0833,25.19,83,100,0.26,ID,1675914856
131,sioux lookout,50.1001,-91.917,0.04,64,100,3.09,CA,1675914654
132,ihosy,-22.4,46.1167,19.8,93,100,3.09,MG,1675914857
133,linxia,35.6003,103.2064,-0.83,66,31,1.52,CN,1675914858
134,butaritari,3.0707,172.7902,27.42,82,65,9.15,KI,1675914858
135,aden,12.7794,45.0367,24.41,72,2,1.37,YE,1675914859
136,arraial do cabo,-22.9661,-42.0278,23.92,88,75,1.54,BR,1675914859
137,stornoway,58.2093,-6.3865,4.98,78,75,9.77,GB,1675914860
138,bushenyi,-0.5853,30.2114,17.75,66,98,1.37,UG,1675914860
139,acapulco,16.8634,-99.8901,24.81,67,14,2.57,MX,1675914704
140,gorontalo,0.5412,123.0595,31.22,55,100,2.42,ID,1675914863
141,san pedro,14.35,121.0167,29.64,59,75,4.12,PH,1675914867
142,ancud,-41.8697,-73.8203,14.26,97,11,2.96,CL,1675914869
143,beloha,-25.1667,45.05,24.29,75,100,3.7,MG,1675914869
144,betioky,-23.7167,44.3833,24.1,70,100,3.69,MG,1675914870
145,antofagasta,-23.65,-70.4,20.6,84,38,1.86,CL,1675914279
146,maniitsoq,65.4167,-52.9,-5.08,94,100,5.39,GL,1675914871
147,seddon,-37.8068,144.8916,32.95,55,0,6.69,AU,1675914872
148,chimoio,-19.1164,33.4833,19.07,97,86,0.89,MZ,1675914872
149,klichka,50.4457,117.996,-19.04,95,100,1.42,RU,1675914873
150,bajil,15.0584,43.2851,24.35,77,93,3.23,YE,1675914873
151,nisia floresta,-6.0911,-35.2086,26.45,87,35,2.82,BR,1675914873
152,berlevag,70.8578,29.0864,2.97,70,100,17.49,NO,1675914873
153,labuhan,-6.8844,112.2051,28.65,76,93,5.44,ID,1675914874
154,yerbogachen,61.2767,108.0108,-17.29,94,100,1.65,RU,1675914874
155,yeppoon,-23.1333,150.7333,29.88,61,92,10.31,AU,1675914875
156,loreto,22.2667,-101.9667,14.08,26,76,2.15,MX,1675914875
157,cerrito,6.8432,-72.694,10.95,85,96,2.34,CO,1675914875
158,rovaniemi,66.5,25.7167,1.67,93,100,11.32,FI,1675914876
159,iskateley,67.6803,53.1512,-3.05,85,99,7.33,RU,1675914876
160,shaowu,27.3409,117.4831,14.67,97,100,0.93,CN,1675914876
161,bonfim,3.0833,-59.95,25.26,73,54,3.77,BR,1675914876
162,takaungu,-3.6837,39.8566,26.27,78,99,1.57,KE,1675914877
163,kaitangata,-46.2817,169.8464,14.06,53,83,4.58,NZ,1675914877
164,sitka,57.0531,-135.33,3.94,70,100,5.66,US,1675914877
165,road town,18.4167,-64.6167,25.05,74,1,10.92,VG,1675914639
166,port elizabeth,-33.918,25.5701,20.73,93,75,1.03,ZA,1675914878
167,nishihara,26.1842,127.7558,21.81,73,75,7.72,JP,1675914878
168,jizan,17.3333,42.6667,23.52,72,9,1.13,SA,1675914879
169,sao filipe,14.8961,-24.4956,20.6,75,58,3.17,CV,1675914879
170,abu samrah,35.3029,37.1841,0.8,69,0,1.12,SY,1675914879
171,coquimbo,-29.9533,-71.3436,16.85,94,20,3.09,CL,1675914797
172,piacabucu,-10.4056,-36.4344,24.67,79,79,2.37,BR,1675914685
173,teya,60.3778,92.6267,-17.82,97,100,1.34,RU,1675914880
174,samarai,-10.6167,150.6667,26.39,86,100,4.39,PG,1675914880
175,lavrentiya,65.5833,-171.0,-24.44,97,100,1.12,RU,1675914827
176,longyearbyen,78.2186,15.6401,-6.09,79,100,7.72,SJ,1675914880
177,hagere hiywet,8.9833,37.85,10.63,64,4,2.31,ET,1675914881
178,teguise,29.0605,-13.564,10.12,82,0,3.6,ES,1675914881
179,noumea,-22.2763,166.4572,31.99,76,99,3.83,NC,1675914741
180,dongfeng,42.6403,125.5118,-4.96,64,100,2.45,CN,1675914881
